Corpus,Threat Model,LLM,Metric,Higher is Better,Slope,Slope Std,Slope HDI Lower,Slope HDI Upper,ROPE,Conclusion
EBG,logreg,gemma-2,binary_acc1,False,0.39130309396594964,0.2659475789781408,-0.13833902545341634,0.9029944354369732,0.026594757897814084,Inconclusive
EBG,logreg,gemma-2,binary_acc5,False,0.21582899842546469,0.19204906721000276,-0.15241340338366,0.6009717360657307,0.019204906721000278,Inconclusive
EBG,logreg,gemma-2,true_class_confidence,False,0.13408411649104712,0.11185030230792031,-0.07380201924447358,0.3607387199146911,0.011185030230792032,Inconclusive
EBG,logreg,gemma-2,entropy,True,0.11116240691626515,0.11144194643834078,-0.10919780312370207,0.32578640770275175,0.01114419464383408,Inconclusive
EBG,logreg,gemma-2,bertscore,True,0.06792289994606134,0.036531077380221016,-0.003554417056891024,0.13969159524345556,0.003653107738022102,Inconclusive
EBG,logreg,gemma-2,pinc,True,-0.07410876782523394,0.051383680260826625,-0.17003730566320438,0.026732282769256918,0.005138368026082663,Inconclusive
EBG,svm,gemma-2,binary_acc1,False,0.38166610655692845,0.2628095790758287,-0.1136282432333603,0.8958605306274963,0.02628095790758287,Inconclusive
EBG,svm,gemma-2,binary_acc5,False,0.21827741688775204,0.18415259368419973,-0.14449762268988703,0.5739286197576255,0.018415259368419975,Inconclusive
EBG,svm,gemma-2,true_class_confidence,False,0.13708133029788877,0.11034977403356909,-0.07292834452442015,0.35630020935021894,0.01103497740335691,Inconclusive
EBG,svm,gemma-2,entropy,True,0.11428349187366876,0.11127736235785457,-0.10513261590873822,0.33244730220542057,0.011127736235785458,Inconclusive
EBG,svm,gemma-2,bertscore,True,0.06847094168268296,0.036205833288820974,-0.0007903381015568894,0.14025259262658507,0.0036205833288820975,Inconclusive
EBG,svm,gemma-2,pinc,True,-0.074963031308825,0.051090370393521704,-0.17410331054186662,0.02426186857095626,0.005109037039352171,Inconclusive
EBG,roberta,gemma-2,binary_acc1,False,0.38902620058795434,0.25925616314240524,-0.12939049173601033,0.8751422193511591,0.025925616314240525,Inconclusive
EBG,roberta,gemma-2,binary_acc5,False,0.21680270943227822,0.19005670965307556,-0.14860065489482582,0.5871123159828239,0.01900567096530756,Inconclusive
EBG,roberta,gemma-2,true_class_confidence,False,0.13540990953862178,0.11354233574922641,-0.0821862123724496,0.3629709241367473,0.011354233574922643,Inconclusive
EBG,roberta,gemma-2,entropy,True,0.113095106464411,0.1093980807436724,-0.09703685071948012,0.3321905719689151,0.01093980807436724,Inconclusive
EBG,roberta,gemma-2,bertscore,True,0.0688189448679769,0.03647835660697169,-0.00446602107939089,0.13876478045964685,0.003647835660697169,Inconclusive
EBG,roberta,gemma-2,pinc,True,-0.07520572024107532,0.051363763104393376,-0.17362349102562005,0.027314302574484306,0.005136376310439338,Inconclusive
EBG,logreg,llama-3.1,binary_acc1,False,0.2610391672618884,0.21318781858106453,-0.16321073336229974,0.6741882565961359,0.021318781858106456,Inconclusive
EBG,logreg,llama-3.1,binary_acc5,False,-0.01503265609046198,0.17895597803898097,-0.3620747528611964,0.34496676268048665,0.017895597803898097,Inconclusive
EBG,logreg,llama-3.1,true_class_confidence,False,0.14881046124564506,0.11370466971571072,-0.07447731886130877,0.37034379720170907,0.011370466971571073,Inconclusive
EBG,logreg,llama-3.1,entropy,True,0.03416368859915143,0.1057847051679681,-0.17515224572410404,0.2427454439017593,0.010578470516796811,Inconclusive
EBG,logreg,llama-3.1,bertscore,True,-0.03360530188065195,0.03683622923309918,-0.1080008028182967,0.03692233172045205,0.0036836229233099178,Inconclusive
EBG,logreg,llama-3.1,pinc,True,0.040809197876913866,0.040791867516072756,-0.04286760812830305,0.11858743033013129,0.004079186751607276,Inconclusive
EBG,svm,llama-3.1,binary_acc1,False,0.2575616859425478,0.21048347130044065,-0.1370169940124995,0.6877381407291308,0.021048347130044068,Inconclusive
EBG,svm,llama-3.1,binary_acc5,False,-0.0196375371510404,0.17901235588097894,-0.3595330073004551,0.33467160959699066,0.017901235588097895,Inconclusive
EBG,svm,llama-3.1,true_class_confidence,False,0.1486005493054242,0.1136531337097798,-0.07376924807234321,0.3732896844449561,0.01136531337097798,Inconclusive
EBG,svm,llama-3.1,entropy,True,0.03352029147492309,0.10393701490514762,-0.16526057774456765,0.24326494356772854,0.010393701490514762,Inconclusive
EBG,svm,llama-3.1,bertscore,True,-0.03448643834211247,0.03616448741020667,-0.10497819814940766,0.034774028154352585,0.003616448741020667,Inconclusive
EBG,svm,llama-3.1,pinc,True,0.03937833917400208,0.04098445941806663,-0.03721135108039138,0.12056371119276063,0.004098445941806663,Inconclusive
EBG,roberta,llama-3.1,binary_acc1,False,0.25561265030981944,0.21715397481977836,-0.19481665212633664,0.662003366821336,0.021715397481977837,Inconclusive
EBG,roberta,llama-3.1,binary_acc5,False,-0.020476304179975254,0.18081933371416173,-0.37161673977298554,0.3316906511488076,0.018081933371416174,Inconclusive
EBG,roberta,llama-3.1,true_class_confidence,False,0.1507131561457494,0.11421424787912016,-0.06617542279207075,0.3788770248156649,0.011421424787912016,Inconclusive
EBG,roberta,llama-3.1,entropy,True,0.03101824227680015,0.10796424124341207,-0.16957042296471067,0.24625781037159974,0.010796424124341208,Inconclusive
EBG,roberta,llama-3.1,bertscore,True,-0.033527055202975636,0.03643977287951857,-0.10477108018697207,0.03743008290271332,0.0036439772879518573,Inconclusive
EBG,roberta,llama-3.1,pinc,True,0.03933073809617837,0.041554891311141685,-0.0411503961530686,0.12048645265749454,0.004155489131114169,Inconclusive
EBG,logreg,ministral,binary_acc1,False,0.1530278256917994,0.21063806565386445,-0.2729959902112774,0.5539545403253143,0.021063806565386447,Inconclusive
EBG,logreg,ministral,binary_acc5,False,0.06818660350280999,0.18315338373534273,-0.2959643814881822,0.4166048593079207,0.018315338373534273,Inconclusive
EBG,logreg,ministral,true_class_confidence,False,0.10865935177886667,0.117018058025801,-0.12353309159625632,0.3336569095972499,0.0117018058025801,Inconclusive
EBG,logreg,ministral,entropy,True,0.04793525232590182,0.10592207178917151,-0.1518267836266002,0.26082677754978983,0.010592207178917151,Inconclusive
EBG,logreg,ministral,bertscore,True,-0.013947663517219119,0.04101263917535549,-0.0943424460765895,0.06669544232155297,0.004101263917535549,Inconclusive
EBG,logreg,ministral,pinc,True,0.02960192738579596,0.05019866311744905,-0.06879740438630734,0.1270081129464336,0.0050198663117449055,Inconclusive
EBG,svm,ministral,binary_acc1,False,0.15270738030553713,0.21255584871774452,-0.25169824823484943,0.5854725551672114,0.021255584871774452,Inconclusive
EBG,svm,ministral,binary_acc5,False,0.06459757527085234,0.18494058539351454,-0.30002166491637416,0.4387801905074915,0.018494058539351457,Inconclusive
EBG,svm,ministral,true_class_confidence,False,0.10722022577536765,0.11579907355590129,-0.11727469205927446,0.3339076121068116,0.011579907355590129,Inconclusive
EBG,svm,ministral,entropy,True,0.048594862248008255,0.10488562309879246,-0.1501734431119944,0.26085492343620587,0.010488562309879247,Inconclusive
EBG,svm,ministral,bertscore,True,-0.013970100786158816,0.042148189358721756,-0.09907760860862694,0.06605125893715535,0.004214818935872176,Inconclusive
EBG,svm,ministral,pinc,True,0.029850749993263523,0.050983020672909704,-0.0716880532184449,0.12873138822683744,0.00509830206729097,Inconclusive
EBG,roberta,ministral,binary_acc1,False,0.15855728173222164,0.20665755582230938,-0.246344594223156,0.5599935306875128,0.020665755582230938,Inconclusive
EBG,roberta,ministral,binary_acc5,False,0.05985803684770057,0.18423267518177935,-0.3136610393716328,0.41715438454633796,0.018423267518177935,Inconclusive
EBG,roberta,ministral,true_class_confidence,False,0.10814269900805992,0.11558363246675366,-0.12306831919841821,0.3277880379060575,0.011558363246675366,Inconclusive
EBG,roberta,ministral,entropy,True,0.047461594571883946,0.10279981162480266,-0.144059300978639,0.2602732501120795,0.010279981162480266,Inconclusive
EBG,roberta,ministral,bertscore,True,-0.013103345115571444,0.041363717875018496,-0.09420452845205687,0.06610939540635202,0.00413637178750185,Inconclusive
EBG,roberta,ministral,pinc,True,0.03045955193533132,0.050362411856210834,-0.06511950363381805,0.12979952518360244,0.005036241185621084,Inconclusive
EBG,logreg,claude-3.5,binary_acc1,False,-0.0928097477321999,0.3827536663894147,-0.8665964758620305,0.6377612600214261,0.038275366638941474,Inconclusive
EBG,logreg,claude-3.5,binary_acc5,False,0.13962016949389414,0.20339243581228647,-0.25154911648251055,0.5558643854281087,0.02033924358122865,Inconclusive
EBG,logreg,claude-3.5,true_class_confidence,False,0.03015044446105008,0.10371259669577709,-0.17097178239363722,0.2255473625827738,0.01037125966957771,Inconclusive
EBG,logreg,claude-3.5,entropy,True,-0.08289151172603677,0.09962842570060157,-0.27407084760303807,0.11285638309002824,0.009962842570060158,Inconclusive
EBG,logreg,claude-3.5,bertscore,True,0.043355285776283406,0.022378968386552917,-0.003381296169997801,0.08461531231439959,0.002237896838655292,Inconclusive
EBG,logreg,claude-3.5,pinc,True,-0.05112626004372596,0.032221360077721174,-0.11274547774922518,0.01321409904060966,0.0032221360077721176,Inconclusive
EBG,svm,claude-3.5,binary_acc1,False,-0.08884908926454776,0.3791005363445582,-0.8546212539782473,0.6419960936887668,0.03791005363445582,Inconclusive
EBG,svm,claude-3.5,binary_acc5,False,0.13858602713917226,0.20067009103166655,-0.2529329154188626,0.5267856259701407,0.020067009103166656,Inconclusive
EBG,svm,claude-3.5,true_class_confidence,False,0.02665442466433915,0.10469532626092254,-0.1788851301566042,0.22977095374555598,0.010469532626092255,Inconclusive
EBG,svm,claude-3.5,entropy,True,-0.08503278475782156,0.09960054260493505,-0.2824614819870885,0.10710647390256738,0.009960054260493505,Inconclusive
EBG,svm,claude-3.5,bertscore,True,0.04351801048318722,0.02275792152930409,-0.0005214393667454204,0.0871801977923391,0.0022757921529304092,Inconclusive
EBG,svm,claude-3.5,pinc,True,-0.05118661835982837,0.032379955162383046,-0.11561610020000432,0.010826119798188295,0.0032379955162383047,Inconclusive
EBG,roberta,claude-3.5,binary_acc1,False,-0.08212619777676193,0.3853109147232846,-0.8680858901218274,0.6642405763282513,0.038531091472328464,Inconclusive
EBG,roberta,claude-3.5,binary_acc5,False,0.14163029131248148,0.2004472896996215,-0.2332868771001967,0.5503581514761823,0.02004472896996215,Inconclusive
EBG,roberta,claude-3.5,true_class_confidence,False,0.029794498759233207,0.10601882388192659,-0.1853417530379497,0.2299192185250109,0.010601882388192659,Inconclusive
EBG,roberta,claude-3.5,entropy,True,-0.08266712401174502,0.10022005523667762,-0.27525765880814446,0.11728113399178042,0.010022005523667762,Inconclusive
EBG,roberta,claude-3.5,bertscore,True,0.04344812533821295,0.021995142888465075,0.0019993776354671733,0.0884694205118452,0.0021995142888465075,Inconclusive
EBG,roberta,claude-3.5,pinc,True,-0.05148234422263367,0.031909264531264706,-0.11425216287264309,0.008351896010928086,0.0031909264531264706,Inconclusive
EBG,logreg,gpt-4o,binary_acc1,False,0.3520015534825976,0.216832010776702,-0.07972472224490668,0.7693870095178938,0.021683201077670203,Inconclusive
EBG,logreg,gpt-4o,binary_acc5,False,-0.01016262455754909,0.17735582110184264,-0.3647642695363814,0.329830718017208,0.017735582110184264,Inconclusive
EBG,logreg,gpt-4o,true_class_confidence,False,0.1309779773859196,0.11769776935383491,-0.10587241585010576,0.3607291706733853,0.011769776935383492,Inconclusive
EBG,logreg,gpt-4o,entropy,True,-0.018757306916981818,0.1052231379169801,-0.2158306149298353,0.19782993354718825,0.010522313791698011,Inconclusive
EBG,logreg,gpt-4o,bertscore,True,0.002724843719595526,0.0375482736989746,-0.06902313013819154,0.077073395094618,0.0037548273698974604,Inconclusive
EBG,logreg,gpt-4o,pinc,True,-0.0248840329302654,0.041263573655603264,-0.10590105263332154,0.05651592377056039,0.004126357365560327,Inconclusive
EBG,svm,gpt-4o,binary_acc1,False,0.35454213856189914,0.21684580265410028,-0.0559004175962715,0.7795892351913789,0.02168458026541003,Inconclusive
EBG,svm,gpt-4o,binary_acc5,False,-0.016455516868918038,0.17815017965522115,-0.37167844541098677,0.33003983160841804,0.017815017965522116,Inconclusive
EBG,svm,gpt-4o,true_class_confidence,False,0.12875476209692635,0.11923955563657408,-0.09653028262938204,0.375222328147427,0.011923955563657409,Inconclusive
EBG,svm,gpt-4o,entropy,True,-0.017767482249057366,0.10458208598698515,-0.2250820338072831,0.1820401561116007,0.010458208598698516,Inconclusive
EBG,svm,gpt-4o,bertscore,True,0.002274467367415041,0.03883713469860605,-0.07277958653590609,0.07999443309337691,0.0038837134698606053,Inconclusive
EBG,svm,gpt-4o,pinc,True,-0.0256625171055053,0.04088174838280889,-0.10733582198560523,0.05238340799619709,0.004088174838280889,Inconclusive
EBG,roberta,gpt-4o,binary_acc1,False,0.35931381825218933,0.21903082688138295,-0.10090716604136901,0.767030208769957,0.021903082688138297,Inconclusive
EBG,roberta,gpt-4o,binary_acc5,False,-0.009191972889473436,0.1779447138611634,-0.36672255532786635,0.3337581166192071,0.01779447138611634,Inconclusive
EBG,roberta,gpt-4o,true_class_confidence,False,0.13017557252393902,0.11701180510691932,-0.10045621508563736,0.3535117833461896,0.011701180510691932,Inconclusive
EBG,roberta,gpt-4o,entropy,True,-0.01876458706004585,0.10499604185691684,-0.22037486345657298,0.1890367803630516,0.010499604185691685,Inconclusive
EBG,roberta,gpt-4o,bertscore,True,0.002242246220504173,0.03857619031841037,-0.07165907598364393,0.07875128120844814,0.0038576190318410373,Inconclusive
EBG,roberta,gpt-4o,pinc,True,-0.0254019809850054,0.0416327325529826,-0.10594096607076936,0.057216410968504314,0.00416327325529826,Inconclusive
RJ,logreg,gemma-2,binary_acc1,False,0.04204095504776807,0.42039695410742445,-0.7957368829894652,0.8538903833846869,0.04203969541074245,Inconclusive
RJ,logreg,gemma-2,binary_acc5,False,0.5883699664194058,0.28545882324615995,0.06373119809019173,1.17697738307707,0.028545882324615995,Significant Improvement
RJ,logreg,gemma-2,true_class_confidence,False,0.09072146601389179,0.1515215163684549,-0.1860649748827508,0.401969118813703,0.01515215163684549,Inconclusive
RJ,logreg,gemma-2,entropy,True,-0.01615307516030414,0.13841044234454986,-0.2831418054582739,0.26520821893171853,0.013841044234454987,Inconclusive
RJ,logreg,gemma-2,bertscore,True,0.07824811374271441,0.0493146825322521,-0.019852966599812553,0.1710123220338228,0.00493146825322521,Inconclusive
RJ,logreg,gemma-2,pinc,True,-0.0817700089018102,0.053133760640897226,-0.18682102382023763,0.0201112350701783,0.005313376064089723,Inconclusive
RJ,svm,gemma-2,binary_acc1,False,0.04571323214294014,0.4151163052070927,-0.7838689638310673,0.8754068654670102,0.041511630520709275,Inconclusive
RJ,svm,gemma-2,binary_acc5,False,0.5913221117224966,0.2933415032582902,0.02408332842729438,1.181650342500185,0.029334150325829023,Inconclusive
RJ,svm,gemma-2,true_class_confidence,False,0.09469876548202626,0.14868594921448114,-0.2089975313282028,0.369048851060215,0.014868594921448115,Inconclusive
RJ,svm,gemma-2,entropy,True,-0.018284501288922582,0.14052020385858635,-0.2901825846845023,0.25937664430487894,0.014052020385858635,Inconclusive
RJ,svm,gemma-2,bertscore,True,0.07938235269331649,0.05007421005478818,-0.022014014938822227,0.17434525377031584,0.0050074210054788185,Inconclusive
RJ,svm,gemma-2,pinc,True,-0.0815493739124276,0.054426241779919365,-0.18328276108122413,0.030247454679455346,0.005442624177991937,Inconclusive
RJ,roberta,gemma-2,binary_acc1,False,0.03220783810680579,0.4093611378039886,-0.7868235923219304,0.8593713485830647,0.04093611378039886,Inconclusive
RJ,roberta,gemma-2,binary_acc5,False,0.5914455408220629,0.2902744521951538,0.0373362726313855,1.1710255525496223,0.02902744521951538,Significant Improvement
RJ,roberta,gemma-2,true_class_confidence,False,0.09358791384888974,0.15108676387974648,-0.1976219684085197,0.3887072134090956,0.015108676387974649,Inconclusive
RJ,roberta,gemma-2,entropy,True,-0.017182812674003,0.14133411200458512,-0.2837195714593501,0.2701790716478906,0.014133411200458513,Inconclusive
RJ,roberta,gemma-2,bertscore,True,0.07864513111549327,0.04970028381818722,-0.015356861410369087,0.17903166292310588,0.004970028381818722,Inconclusive
RJ,roberta,gemma-2,pinc,True,-0.083116571982716,0.054234735240297004,-0.18643871040424645,0.02589545545117332,0.0054234735240297005,Inconclusive
RJ,logreg,llama-3.1,binary_acc1,False,0.10336868706202919,0.4152645398710051,-0.7046518027310938,0.9733784296090561,0.04152645398710051,Inconclusive
RJ,logreg,llama-3.1,binary_acc5,False,0.23039407511730578,0.2566824953177202,-0.2691842775644365,0.7338790592605313,0.02566824953177202,Inconclusive
RJ,logreg,llama-3.1,true_class_confidence,False,0.2424720241025497,0.1573510545782755,-0.08177622386708223,0.5329526562621623,0.01573510545782755,Inconclusive
RJ,logreg,llama-3.1,entropy,True,0.211870010024865,0.15713738911320038,-0.09518281766865651,0.5168885671525171,0.015713738911320038,Inconclusive
RJ,logreg,llama-3.1,bertscore,True,0.03280724282537341,0.05246648701053216,-0.06860715283621631,0.13901085477982605,0.005246648701053216,Inconclusive
RJ,logreg,llama-3.1,pinc,True,-0.01284075708094636,0.06087522072925797,-0.12976235361247215,0.10874982259685231,0.006087522072925797,Inconclusive
RJ,svm,llama-3.1,binary_acc1,False,0.11608482337006391,0.4257555790815692,-0.8006791846862984,0.9063750958754564,0.042575557908156925,Inconclusive
RJ,svm,llama-3.1,binary_acc5,False,0.2244446909419765,0.2628986208216814,-0.29080802376101667,0.7337393426596037,0.026289862082168144,Inconclusive
RJ,svm,llama-3.1,true_class_confidence,False,0.24344601143824524,0.15397097041295166,-0.06169801826194313,0.5345889187609696,0.015397097041295167,Inconclusive
RJ,svm,llama-3.1,entropy,True,0.21485474009795985,0.15253723227167956,-0.07426781897165591,0.5203567896724538,0.015253723227167957,Inconclusive
RJ,svm,llama-3.1,bertscore,True,0.032743245705023315,0.05250572595386944,-0.07085262597323447,0.13363418038764505,0.005250572595386944,Inconclusive
RJ,svm,llama-3.1,pinc,True,-0.01279455754802319,0.06022983626800284,-0.13304474434044106,0.10326007995404356,0.006022983626800284,Inconclusive
RJ,roberta,llama-3.1,binary_acc1,False,0.10710418852232888,0.4129475211478696,-0.6966987257275359,0.9646908680480566,0.04129475211478696,Inconclusive
RJ,roberta,llama-3.1,binary_acc5,False,0.22445225813675795,0.2623474760511155,-0.2880988378463867,0.734240969997951,0.026234747605111554,Inconclusive
RJ,roberta,llama-3.1,true_class_confidence,False,0.24360466388407992,0.1592932166307481,-0.06476987229563189,0.5608647788926208,0.01592932166307481,Inconclusive
RJ,roberta,llama-3.1,entropy,True,0.21358754722899592,0.15441051875368225,-0.09052619395603856,0.5156274034992789,0.015441051875368227,Inconclusive
RJ,roberta,llama-3.1,bertscore,True,0.03227036645986793,0.052384540299153584,-0.07337859257954904,0.1310093774639525,0.005238454029915358,Inconclusive
RJ,roberta,llama-3.1,pinc,True,-0.01205401515081049,0.0606001620207274,-0.13241638009844123,0.10390585580258134,0.00606001620207274,Inconclusive
RJ,logreg,ministral,binary_acc1,False,0.5890522395572648,0.4204389647831525,-0.17486451979237666,1.4537404334390065,0.04204389647831525,Inconclusive
RJ,logreg,ministral,binary_acc5,False,-0.01209263307148854,0.25385042770558636,-0.5225370332999935,0.4635986235057238,0.025385042770558638,Inconclusive
RJ,logreg,ministral,true_class_confidence,False,0.3019487250662352,0.17310698294235394,-0.02782326980832124,0.6523995538861045,0.017310698294235396,Inconclusive
RJ,logreg,ministral,entropy,True,0.38693347933858285,0.16050513665797317,0.08084653605054068,0.7113029046695579,0.01605051366579732,Significant Improvement
RJ,logreg,ministral,bertscore,True,0.018679651377628965,0.05087042076044084,-0.08702577608075719,0.11500518021144629,0.005087042076044084,Inconclusive
RJ,logreg,ministral,pinc,True,0.005790746459699093,0.05145691496132735,-0.09592601958189739,0.10610256118046998,0.005145691496132736,Inconclusive
RJ,svm,ministral,binary_acc1,False,0.5823472947327764,0.4165924154074427,-0.2526428907879343,1.3805319707643289,0.04165924154074427,Inconclusive
RJ,svm,ministral,binary_acc5,False,-0.013692279262470635,0.2547968068552798,-0.5288733020085153,0.46490588875206573,0.02547968068552798,Inconclusive
RJ,svm,ministral,true_class_confidence,False,0.29833894494645,0.17230359575719886,-0.04242621819825166,0.630114012197468,0.017230359575719886,Inconclusive
RJ,svm,ministral,entropy,True,0.3846139348531214,0.1574520597996472,0.07791151329908949,0.6915978440092192,0.01574520597996472,Significant Improvement
RJ,svm,ministral,bertscore,True,0.018182982432646176,0.04900502730858512,-0.0799031357757329,0.11400570006794751,0.004900502730858513,Inconclusive
RJ,svm,ministral,pinc,True,0.004679806638944708,0.051589303502607396,-0.10047040979785833,0.10249688995447986,0.00515893035026074,Inconclusive
RJ,roberta,ministral,binary_acc1,False,0.5794982691572086,0.42467498679630034,-0.2213409928154796,1.4220618637790188,0.04246749867963004,Inconclusive
RJ,roberta,ministral,binary_acc5,False,-0.016042571493132846,0.2548757085757794,-0.514626736070491,0.49264800222045924,0.02548757085757794,Inconclusive
RJ,roberta,ministral,true_class_confidence,False,0.3005128422926732,0.17161555097870348,-0.0381366616711013,0.6370874995997345,0.01716155509787035,Inconclusive
RJ,roberta,ministral,entropy,True,0.38669016402865153,0.1582358598401744,0.08158939956791122,0.6988209097672488,0.01582358598401744,Significant Improvement
RJ,roberta,ministral,bertscore,True,0.019197047135833062,0.05040905318118457,-0.07871337144166467,0.12002949762852286,0.005040905318118457,Inconclusive
RJ,roberta,ministral,pinc,True,0.006226419807806609,0.050653967867248864,-0.09300752577861453,0.10606307189282738,0.005065396786724886,Inconclusive
RJ,logreg,claude-3.5,binary_acc1,False,0.9882771367152311,0.5880075938544665,-0.12465450250349608,2.1219401974522145,0.058800759385446655,Inconclusive
RJ,logreg,claude-3.5,binary_acc5,False,0.5625144231455641,0.3044457610982313,-0.025266235872256262,1.1742782747099638,0.03044457610982313,Inconclusive
RJ,logreg,claude-3.5,true_class_confidence,False,0.14982280373249074,0.15936276234640906,-0.16544462541047789,0.4550750218585425,0.015936276234640907,Inconclusive
RJ,logreg,claude-3.5,entropy,True,0.13138392002539423,0.15506462733958606,-0.16345330493254176,0.44281293016357026,0.015506462733958608,Inconclusive
RJ,logreg,claude-3.5,bertscore,True,0.016740950295327486,0.03829790869337797,-0.05599767040236387,0.0930527004490283,0.0038297908693377975,Inconclusive
RJ,logreg,claude-3.5,pinc,True,-0.012475233809992685,0.04834212530754327,-0.10529393736652429,0.08275900186270486,0.004834212530754327,Inconclusive
RJ,svm,claude-3.5,binary_acc1,False,1.0081435203294016,0.6029001071138957,-0.1246698436245692,2.1650074265493555,0.06029001071138958,Inconclusive
RJ,svm,claude-3.5,binary_acc5,False,0.5675197326363197,0.29392686616755864,0.014269849709441285,1.1704268689355017,0.029392686616755866,Inconclusive
RJ,svm,claude-3.5,true_class_confidence,False,0.148322098904618,0.16029043420722364,-0.15104970472529772,0.46610607948308724,0.016029043420722363,Inconclusive
RJ,svm,claude-3.5,entropy,True,0.1311716687478475,0.1557100400393319,-0.18075368518044682,0.4342001176730842,0.01557100400393319,Inconclusive
RJ,svm,claude-3.5,bertscore,True,0.015880820411273942,0.03807927411721901,-0.05644714418868141,0.0928468369066208,0.003807927411721901,Inconclusive
RJ,svm,claude-3.5,pinc,True,-0.01242646769193575,0.0488181947758446,-0.10868441891539977,0.08144006684798924,0.004881819477584461,Inconclusive
RJ,roberta,claude-3.5,binary_acc1,False,0.9923163813306415,0.5865964714203933,-0.1150894018230908,2.1130264934232996,0.058659647142039334,Inconclusive
RJ,roberta,claude-3.5,binary_acc5,False,0.5653883033636184,0.28762065391856956,1.5454590779381827e-05,1.1285794253034385,0.028762065391856956,Inconclusive
RJ,roberta,claude-3.5,true_class_confidence,False,0.15130493088445127,0.16115146495704885,-0.1656848123863895,0.4630173164299699,0.016115146495704887,Inconclusive
RJ,roberta,claude-3.5,entropy,True,0.12786153526838398,0.1579889389609602,-0.18575584154041397,0.4371221192194646,0.01579889389609602,Inconclusive
RJ,roberta,claude-3.5,bertscore,True,0.01649467719936305,0.03784053029104091,-0.05796690136586144,0.08994615712487106,0.0037840530291040914,Inconclusive
RJ,roberta,claude-3.5,pinc,True,-0.01312821748107156,0.04960927695850897,-0.1095982567929027,0.08225355236583233,0.004960927695850897,Inconclusive
RJ,logreg,gpt-4o,binary_acc1,False,0.5574719553919619,0.38420298113303125,-0.15321575513442628,1.3510872815760453,0.03842029811330313,Inconclusive
RJ,logreg,gpt-4o,binary_acc5,False,0.08877066974561951,0.2466661346311728,-0.4229706925803553,0.5486490943534983,0.02466661346311728,Inconclusive
RJ,logreg,gpt-4o,true_class_confidence,False,0.18594320532702163,0.1588532460689095,-0.12179934429119779,0.4969337504544571,0.01588532460689095,Inconclusive
RJ,logreg,gpt-4o,entropy,True,0.10259297668442108,0.14457608885680653,-0.19057106563655057,0.3701400527890963,0.014457608885680654,Inconclusive
RJ,logreg,gpt-4o,bertscore,True,0.06160510449068735,0.05396476907651577,-0.0400936336087174,0.17078332191499987,0.005396476907651577,Inconclusive
RJ,logreg,gpt-4o,pinc,True,-0.08580699071011517,0.050526463926888844,-0.191235380395083,0.0064891846829093075,0.005052646392688885,Inconclusive
RJ,svm,gpt-4o,binary_acc1,False,0.5461072200257501,0.37588177275772416,-0.1406492437257479,1.318543075175307,0.03758817727577242,Inconclusive
RJ,svm,gpt-4o,binary_acc5,False,0.07988040866267782,0.25449419546032426,-0.42020007481083377,0.5856900356333712,0.02544941954603243,Inconclusive
RJ,svm,gpt-4o,true_class_confidence,False,0.18253302263264645,0.15954872702674683,-0.12570281429708915,0.498892590942402,0.015954872702674684,Inconclusive
RJ,svm,gpt-4o,entropy,True,0.09635432947745047,0.1439754152077899,-0.18222915552977587,0.3767053134705186,0.01439754152077899,Inconclusive
RJ,svm,gpt-4o,bertscore,True,0.06121673508617469,0.05399967215925645,-0.05011582398044613,0.16106537976216134,0.005399967215925645,Inconclusive
RJ,svm,gpt-4o,pinc,True,-0.08634669113764849,0.051099475476762475,-0.18702951946363683,0.011223745036838555,0.005109947547676248,Inconclusive
RJ,roberta,gpt-4o,binary_acc1,False,0.5496182228720611,0.38447414509938604,-0.221745219494147,1.2871170346995746,0.038447414509938604,Inconclusive
RJ,roberta,gpt-4o,binary_acc5,False,0.08374979017458509,0.252821026691589,-0.38979609561788015,0.6009879525299006,0.025282102669158903,Inconclusive
RJ,roberta,gpt-4o,true_class_confidence,False,0.18776707977365595,0.16154982891607111,-0.12123618284595723,0.510737457311912,0.016154982891607113,Inconclusive
RJ,roberta,gpt-4o,entropy,True,0.10354652498540821,0.14077787125467403,-0.18297456602148318,0.38012657397339633,0.014077787125467403,Inconclusive
RJ,roberta,gpt-4o,bertscore,True,0.06185704571774586,0.053372317673340525,-0.04064093202370911,0.16823017689361836,0.005337231767334053,Inconclusive
RJ,roberta,gpt-4o,pinc,True,-0.08502279283729512,0.05161324585069338,-0.1853867920961348,0.01728865742312851,0.005161324585069339,Inconclusive
