Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,imitation,logreg,Gemma-2,"0.021 ± 0.022 [0.002, 0.052]","0.113 ± 0.036 [0.049, 0.178]","0.038 ± 0.023 [0.007, 0.077]","2.110 ± 0.102 [1.922, 2.304]","0.936 ± 0.002 [0.933, 0.940]","0.485 ± 0.003 [0.478, 0.491]","0.171 ± 0.003 [0.165, 0.176]"
EBG,imitation,logreg,Llama-3.1,"0.020 ± 0.021 [0.001, 0.053]","0.130 ± 0.038 [0.065, 0.202]","0.046 ± 0.026 [0.011, 0.088]","3.374 ± 0.073 [3.238, 3.516]","0.945 ± 0.002 [0.942, 0.949]","0.494 ± 0.004 [0.487, 0.501]","0.197 ± 0.003 [0.191, 0.202]"
EBG,imitation,logreg,GPT-4o,"0.175 ± 0.046 [0.093, 0.262]","0.372 ± 0.057 [0.259, 0.476]","0.127 ± 0.038 [0.062, 0.198]","3.042 ± 0.079 [2.898, 3.189]","0.821 ± 0.004 [0.814, 0.828]","0.679 ± 0.004 [0.672, 0.687]","0.331 ± 0.005 [0.322, 0.340]"
EBG,imitation,logreg,Claude-3.5,"0.120 ± 0.042 [0.052, 0.196]","0.301 ± 0.055 [0.199, 0.404]","0.100 ± 0.035 [0.043, 0.165]","2.045 ± 0.089 [1.876, 2.209]","0.881 ± 0.003 [0.875, 0.885]","0.586 ± 0.004 [0.579, 0.592]","0.224 ± 0.003 [0.217, 0.230]"
EBG,imitation,logreg,Ministral,"0.020 ± 0.020 [0.002, 0.049]","0.129 ± 0.044 [0.050, 0.209]","0.041 ± 0.023 [0.010, 0.078]","2.667 ± 0.087 [2.504, 2.833]","0.936 ± 0.002 [0.932, 0.940]","0.488 ± 0.004 [0.481, 0.495]","0.174 ± 0.003 [0.168, 0.180]"
EBG,imitation,svm,Gemma-2,"0.030 ± 0.026 [0.003, 0.071]","0.136 ± 0.041 [0.066, 0.214]","0.049 ± 0.025 [0.012, 0.091]","3.888 ± 0.057 [3.784, 3.997]","0.936 ± 0.002 [0.933, 0.940]","0.485 ± 0.003 [0.478, 0.491]","0.171 ± 0.003 [0.165, 0.176]"
EBG,imitation,svm,Llama-3.1,"0.018 ± 0.023 [0.002, 0.046]","0.116 ± 0.036 [0.054, 0.183]","0.048 ± 0.025 [0.012, 0.091]","4.609 ± 0.021 [4.569, 4.648]","0.945 ± 0.002 [0.942, 0.949]","0.494 ± 0.004 [0.487, 0.501]","0.197 ± 0.003 [0.191, 0.202]"
EBG,imitation,svm,GPT-4o,"0.125 ± 0.039 [0.056, 0.195]","0.368 ± 0.057 [0.251, 0.468]","0.086 ± 0.032 [0.033, 0.144]","4.533 ± 0.025 [4.485, 4.579]","0.821 ± 0.004 [0.814, 0.828]","0.679 ± 0.004 [0.672, 0.687]","0.331 ± 0.005 [0.322, 0.340]"
EBG,imitation,svm,Claude-3.5,"0.089 ± 0.034 [0.034, 0.156]","0.266 ± 0.054 [0.169, 0.370]","0.068 ± 0.029 [0.022, 0.116]","4.218 ± 0.040 [4.142, 4.293]","0.881 ± 0.003 [0.875, 0.885]","0.586 ± 0.004 [0.579, 0.592]","0.224 ± 0.003 [0.217, 0.230]"
EBG,imitation,svm,Ministral,"0.034 ± 0.027 [0.004, 0.077]","0.123 ± 0.038 [0.059, 0.197]","0.048 ± 0.025 [0.011, 0.091]","4.291 ± 0.036 [4.222, 4.359]","0.936 ± 0.002 [0.932, 0.940]","0.488 ± 0.004 [0.481, 0.495]","0.174 ± 0.003 [0.168, 0.180]"
EBG,imitation,roberta,Gemma-2,"0.026 ± 0.022 [0.002, 0.062]","0.100 ± 0.036 [0.040, 0.164]","0.038 ± 0.023 [0.008, 0.076]","1.994 ± 0.081 [1.854, 2.155]","0.936 ± 0.002 [0.933, 0.940]","0.485 ± 0.003 [0.478, 0.491]","0.171 ± 0.003 [0.165, 0.176]"
EBG,imitation,roberta,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.081 ± 0.033 [0.026, 0.136]","0.031 ± 0.022 [0.006, 0.068]","1.687 ± 0.084 [1.529, 1.844]","0.945 ± 0.002 [0.942, 0.949]","0.494 ± 0.004 [0.487, 0.501]","0.197 ± 0.003 [0.191, 0.202]"
EBG,imitation,roberta,GPT-4o,"0.412 ± 0.058 [0.297, 0.520]","0.651 ± 0.055 [0.544, 0.748]","0.366 ± 0.056 [0.261, 0.474]","1.842 ± 0.083 [1.686, 2.000]","0.821 ± 0.004 [0.814, 0.828]","0.679 ± 0.004 [0.672, 0.687]","0.331 ± 0.005 [0.322, 0.340]"
EBG,imitation,roberta,Claude-3.5,"0.271 ± 0.053 [0.171, 0.370]","0.511 ± 0.058 [0.404, 0.626]","0.219 ± 0.047 [0.136, 0.313]","2.601 ± 0.077 [2.458, 2.747]","0.881 ± 0.003 [0.875, 0.885]","0.586 ± 0.004 [0.579, 0.592]","0.224 ± 0.003 [0.217, 0.230]"
EBG,imitation,roberta,Ministral,"0.014 ± 0.019 [0.001, 0.037]","0.092 ± 0.033 [0.037, 0.152]","0.032 ± 0.021 [0.006, 0.067]","1.599 ± 0.080 [1.447, 1.744]","0.936 ± 0.002 [0.932, 0.940]","0.488 ± 0.004 [0.481, 0.495]","0.174 ± 0.003 [0.168, 0.180]"
RJ,imitation,logreg,GPT-4o,"0.122 ± 0.041 [0.053, 0.200]","0.322 ± 0.061 [0.212, 0.440]","0.106 ± 0.037 [0.042, 0.172]","1.977 ± 0.097 [1.795, 2.159]","0.833 ± 0.005 [0.823, 0.843]","0.682 ± 0.006 [0.670, 0.694]","0.314 ± 0.006 [0.302, 0.326]"
RJ,imitation,logreg,Gemma-2,"0.062 ± 0.048 [0.007, 0.145]","0.289 ± 0.059 [0.182, 0.402]","0.084 ± 0.037 [0.028, 0.148]","1.259 ± 0.102 [1.065, 1.450]","0.918 ± 0.003 [0.912, 0.924]","0.520 ± 0.006 [0.510, 0.532]","0.197 ± 0.005 [0.188, 0.206]"
RJ,imitation,logreg,Llama-3.1,"0.090 ± 0.033 [0.032, 0.149]","0.245 ± 0.051 [0.148, 0.336]","0.079 ± 0.029 [0.031, 0.133]","2.102 ± 0.098 [1.909, 2.280]","0.929 ± 0.003 [0.924, 0.935]","0.518 ± 0.006 [0.507, 0.529]","0.222 ± 0.005 [0.212, 0.230]"
RJ,imitation,logreg,Ministral,"0.038 ± 0.032 [0.003, 0.090]","0.260 ± 0.053 [0.160, 0.361]","0.057 ± 0.027 [0.016, 0.105]","1.752 ± 0.110 [1.542, 1.957]","0.918 ± 0.003 [0.912, 0.924]","0.526 ± 0.006 [0.516, 0.537]","0.196 ± 0.005 [0.187, 0.206]"
RJ,imitation,logreg,Claude-3.5,"0.070 ± 0.047 [0.011, 0.152]","0.279 ± 0.055 [0.177, 0.382]","0.098 ± 0.036 [0.035, 0.163]","1.060 ± 0.091 [0.892, 1.231]","0.877 ± 0.004 [0.870, 0.885]","0.607 ± 0.006 [0.596, 0.618]","0.239 ± 0.005 [0.229, 0.249]"
RJ,imitation,svm,GPT-4o,"0.046 ± 0.040 [0.005, 0.111]","0.289 ± 0.053 [0.189, 0.385]","0.075 ± 0.029 [0.029, 0.130]","3.688 ± 0.028 [3.637, 3.741]","0.833 ± 0.005 [0.823, 0.843]","0.682 ± 0.006 [0.670, 0.694]","0.314 ± 0.006 [0.302, 0.326]"
RJ,imitation,svm,Gemma-2,"0.067 ± 0.046 [0.010, 0.143]","0.315 ± 0.055 [0.214, 0.421]","0.078 ± 0.030 [0.029, 0.133]","3.334 ± 0.051 [3.236, 3.427]","0.918 ± 0.003 [0.912, 0.924]","0.520 ± 0.006 [0.510, 0.532]","0.197 ± 0.005 [0.188, 0.206]"
RJ,imitation,svm,Llama-3.1,"0.058 ± 0.041 [0.008, 0.125]","0.272 ± 0.051 [0.178, 0.367]","0.079 ± 0.030 [0.031, 0.133]","3.563 ± 0.038 [3.490, 3.632]","0.929 ± 0.003 [0.924, 0.935]","0.518 ± 0.006 [0.507, 0.529]","0.222 ± 0.005 [0.212, 0.230]"
RJ,imitation,svm,Ministral,"0.042 ± 0.039 [0.004, 0.108]","0.278 ± 0.057 [0.176, 0.389]","0.073 ± 0.029 [0.023, 0.125]","3.636 ± 0.035 [3.573, 3.707]","0.918 ± 0.003 [0.912, 0.924]","0.526 ± 0.006 [0.516, 0.537]","0.196 ± 0.005 [0.187, 0.206]"
RJ,imitation,svm,Claude-3.5,"0.048 ± 0.033 [0.007, 0.104]","0.224 ± 0.050 [0.135, 0.322]","0.069 ± 0.028 [0.025, 0.119]","3.147 ± 0.058 [3.043, 3.260]","0.877 ± 0.004 [0.870, 0.885]","0.607 ± 0.006 [0.596, 0.618]","0.239 ± 0.005 [0.229, 0.249]"
RJ,imitation,roberta,GPT-4o,"0.110 ± 0.036 [0.045, 0.175]","0.261 ± 0.050 [0.162, 0.350]","0.104 ± 0.036 [0.041, 0.166]","1.816 ± 0.079 [1.670, 1.965]","0.833 ± 0.005 [0.823, 0.843]","0.682 ± 0.006 [0.670, 0.694]","0.314 ± 0.006 [0.302, 0.326]"
RJ,imitation,roberta,Gemma-2,"0.036 ± 0.032 [0.003, 0.087]","0.245 ± 0.050 [0.152, 0.340]","0.053 ± 0.026 [0.014, 0.099]","1.533 ± 0.093 [1.362, 1.713]","0.918 ± 0.003 [0.912, 0.924]","0.520 ± 0.006 [0.510, 0.532]","0.197 ± 0.005 [0.188, 0.206]"
RJ,imitation,roberta,Llama-3.1,"0.053 ± 0.040 [0.009, 0.115]","0.232 ± 0.052 [0.137, 0.327]","0.066 ± 0.027 [0.020, 0.113]","1.796 ± 0.072 [1.661, 1.931]","0.929 ± 0.003 [0.924, 0.935]","0.518 ± 0.006 [0.507, 0.529]","0.222 ± 0.005 [0.212, 0.230]"
RJ,imitation,roberta,Ministral,"0.018 ± 0.020 [0.001, 0.049]","0.237 ± 0.049 [0.151, 0.334]","0.048 ± 0.025 [0.012, 0.091]","1.693 ± 0.087 [1.530, 1.855]","0.918 ± 0.003 [0.912, 0.924]","0.526 ± 0.006 [0.516, 0.537]","0.196 ± 0.005 [0.187, 0.206]"
RJ,imitation,roberta,Claude-3.5,"0.083 ± 0.032 [0.034, 0.142]","0.289 ± 0.051 [0.190, 0.380]","0.079 ± 0.031 [0.029, 0.137]","1.427 ± 0.067 [1.304, 1.554]","0.877 ± 0.004 [0.870, 0.885]","0.607 ± 0.006 [0.596, 0.618]","0.239 ± 0.005 [0.229, 0.249]"
